State,City,FAA,IATA,ICAO,Airport
ILLINOIS,Marion,MWA,MWA,KMWA,Williamson County Regional Airport
ILLINOIS,Moline,MLI,MLI,KMLI,Quad City International Airport
ILLINOIS,Peoria,PIA,PIA,KPIA,General Wayne A. Downing Peoria International Airport
ILLINOIS,Quincy,UIN,UIN,KUIN,Quincy Regional Airport (Baldwin Field)
ILLINOIS,Rockford,RFD,RFD,KRFD,Chicago Rockford International Airport
ILLINOIS,Springfield,SPI,SPI,KSPI,Abraham Lincoln Capital Airport
INDIANA,Evansville,EVV,EVV,KEVV,Evansville Regional Airport
INDIANA,Fort Wayne,FWA,FWA,KFWA,Fort Wayne International Airport
INDIANA,Indianapolis,IND,IND,KIND,Indianapolis International Airport
INDIANA,South Bend,SBN,SBN,KSBN,South Bend International Airport
IOWA,Cedar Rapids,CID,CID,KCID,The Eastern Iowa Airport
IOWA,Des Moines,DSM,DSM,KDSM,Des Moines International Airport
IOWA,Dubuque,DBQ,DBQ,KDBQ,Dubuque Regional Airport
IOWA,Sioux City,SUX,SUX,KSUX,Sioux Gateway Airport (Col. Bud Day Field)
IOWA,Waterloo,ALO,ALO,KALO,Waterloo Regional Airport
KANSAS,Garden City,GCK,GCK,KGCK,Garden City Regional Airport
KANSAS,Manhattan,MHK,MHK,KMHK,Manhattan Regional Airport
KANSAS,Wichita,ICT,ICT,KICT,Wichita Dwight D. Eisenhower National Airport
KENTUCKY,Cincinnati/Covington,CVG,CVG,KCVG,Cincinnati/Northern Kentucky International Airport
KENTUCKY,Lexington,LEX,LEX,KLEX,Blue Grass Airport
KENTUCKY,Louisville,SDF,SDF,KSDF,Louisville International Airport (Standiford Field)
KENTUCKY,Owensboro,OWB,OWB,KOWB,Owensboro-Daviess County Regional Airport
KENTUCKY,Paducah,PAH,PAH,KPAH,Barkley Regional Airport
LOUISIANA,Alexandria,AEX,AEX,KAEX,Alexandria International Airport
